number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,state
0,0.4951655028488172,2025-06-12 12:36:11.705292,2025-06-12 12:40:57.516977,0 days 00:04:45.811685,0.759195090518222,0.839196365086843,0.2536999076681772,3,19,118,2.5348407664333426e-07,COMPLETE
1,0.49918894876827513,2025-06-12 12:40:57.518064,2025-06-12 12:51:05.387450,0 days 00:10:07.869386,0.41235069657748147,0.8248435466776274,0.07725378389307355,5,98,262,0.31044435499483225,COMPLETE
2,0.499444770966787,2025-06-12 12:51:05.388709,2025-06-12 13:06:33.571545,0 days 00:15:28.182836,0.7148538589793427,0.5825453457757226,0.018659959624904916,9,46,62,4.17890272377219e-06,COMPLETE
3,0.5030574462756385,2025-06-12 13:06:33.572585,2025-06-12 13:12:03.485519,0 days 00:05:29.912934,0.6736419905302216,0.619817105976215,0.027010527749605478,8,80,50,6.267062696005991e-07,COMPLETE
4,0.5019108934800234,2025-06-12 13:12:03.486688,2025-06-12 13:18:28.743132,0 days 00:06:25.256444,0.502314474212375,0.764526911140863,0.011711509955524094,12,11,182,3.4671276804481113,COMPLETE
5,0.5034761499167058,2025-06-12 13:18:28.744177,2025-06-12 13:23:59.278690,0 days 00:05:30.534513,0.8105398159072941,0.45860326840383037,0.028180680291847244,7,47,245,1.254134495897175e-07,COMPLETE
6,0.4965914394491634,2025-06-12 13:23:59.279773,2025-06-12 13:28:41.920844,0 days 00:04:42.641071,0.7975133706123891,0.5552679889600102,0.22038218939289875,8,34,20,0.0004793052550782129,COMPLETE
7,0.4961376441954581,2025-06-12 13:28:41.921841,2025-06-12 13:33:22.407881,0 days 00:04:40.486040,0.9636993649385135,0.8650796940166687,0.27051668818999286,12,90,63,0.002404915432737351,COMPLETE
8,0.4963770980669923,2025-06-12 13:33:22.409067,2025-06-12 13:38:41.300652,0 days 00:05:18.891585,0.5951981984579586,0.4271363733463229,0.01947558230629543,11,42,35,2.7678419414850017e-06,COMPLETE
9,0.5055628562600979,2025-06-12 13:38:41.301822,2025-06-12 13:44:30.741994,0 days 00:05:49.440172,0.4845545349848576,0.7256176498949491,0.026000059117302653,12,82,113,4.6876566400928895e-08,COMPLETE
10,0.5018530958644158,2025-06-12 13:44:30.743188,2025-06-12 13:49:39.394173,0 days 00:05:08.650985,0.4107771253688918,0.9817222664727197,0.06663408467875921,10,70,146,2.2311398834761413e-08,COMPLETE
11,0.5030705873628182,2025-06-12 13:49:39.395405,2025-06-12 13:54:56.523129,0 days 00:05:17.127724,0.8984041852136952,0.40790603947800425,0.04203132051823846,6,63,293,1.6430107893295958e-08,COMPLETE
12,0.5002261172503826,2025-06-12 13:54:56.524193,2025-06-12 14:00:28.476883,0 days 00:05:31.952690,0.8605755986204748,0.6765800016333207,0.03765523921707218,5,59,220,3.0785615192833e-05,COMPLETE
13,0.499495307192519,2025-06-12 14:00:28.478131,2025-06-12 14:05:13.781783,0 days 00:04:45.303652,0.6085800582979497,0.49238442624784373,0.11101952172159125,7,30,110,1.085104410582376e-08,COMPLETE
14,0.501539005975892,2025-06-12 14:05:13.782943,2025-06-12 14:11:21.224529,0 days 00:06:07.441586,0.5246942409023811,0.7200150768650855,0.010195121590788017,10,81,206,0.00934669040346174,COMPLETE
